song_id,url_id,title_ja,title_en,work_id,scene_ja,scene_en,theme_character_ids,youtube_url,old_youtube_url,description_ja,description_en
M001,kt001,Speculam de Porta,Speculam de Porta,P001,タイトル画面,Title theme,,https://youtu.be/nAr0WukhaWA,,,,
M002,kt002,暗鬱桜都15-31,Cheerless Cherry's Capital 15-31,P001,1面道中のテーマ,Stage 1 theme,,https://youtu.be/5pSLMCtFb1E,,,
M003,kt003,バリアブルメンタリティ,Variable Mentality,P001,1面ボス鶴城なた乃のテーマ,Natano's theme,C003,https://youtu.be/Ul8a489fAag,,,
M004,kt004,キャンノットディパーチャー,Cannot Depart,P001,2面道中のテーマ,Stage 2 theme,,https://youtu.be/17xYmG7aVvU,,,
M005,kt005,天真爛漫平安少女,Innocent Maiden of Heian,P001,2面ボス猪民桜花のテーマ,Oka's theme,C004,https://youtu.be/DlTLoyDgWCk,,,
M006,kt006,パーマネントニュートラル,Permanent Neutral,P001,3面道中のテーマ,Stage 3 theme,C005,https://youtu.be/DyCRuWeH-Dg,,,
M007,kt007,幻覚連鎖 ～She knows,Chain of Hallucinations - She Knows,P001,3面ボス上白川文音・アレン・ハーグリーヴズのテーマ,Ayane and Allen's theme,C006,https://youtu.be/DCntfXe0DRY,,,
M008,kt008,剥離する現実,Peel Away from the Real,P001,4面道中のテーマ,Stage 4 theme,,https://youtu.be/XyD-WwjOMa4,,,
M009,kt009,ディストーションインディメンション,Distortion in Dimension,P001,4A面ボス双結零夜のテーマ,Rēya's theme,C007,https://youtu.be/ZXdzOw72xB8,,,
M010,kt010,オリジンノットオリジナル,ORIGIN - Not Original,P001,4B面ボス双結八耶のテーマ,Yaya's theme,C001,https://youtu.be/jSUUwavTdQQ,,,
M011,kt011,夕暮れ時を往く,Through the Twilight,P001,5面道中のテーマ,Stage 5 theme,,https://youtu.be/_RaCJ_2aaUI,,,
M012,kt012,ハイカラゲイル,Modarnist Gale,P001,5面ボス稚早のテーマ,Chihaya's theme,C008,https://youtu.be/kbn9Ew6ae4o,,,
M013,kt013,雨を重ね,Layers of Rain,P001,6面道中のテーマ,Stage 6 theme,,https://youtu.be/Qee2mS2JM40,,,
M014,kt014,窈窕の姫,Graceful Princess,P001,6面ボス御虹重のテーマ,Kasane's theme,C009,https://youtu.be/N2oT2iTB32U,,,
M015,kt015,廻廊疾走リアリスト,Realist Through the Passage,P001,OVER面道中のテーマ,Stage "OVER" theme,,https://youtu.be/EvhbC12JJXo,,,
M016,kt016,Are you finished...?,Are You Finished...?,P001,OVER面ボス御虹単のテーマ,Hitoe's theme,C010,https://youtu.be/4Z_l7jRsmYo,,,
M017,kt017,見上げた虹 ～Under Control,Looking Up at the Rainbow - Under Control,P001,エンディングテーマ,Ending theme,,https://youtu.be/mMI6sx6XrmM,,,
M018,kt018,旅路の景色,Scenes from the Journey,P001,,,https://youtu.be/jYvWo1e8Wm8,,,
M019,kt019,Sign in Ruina,Sign in Ruina,P002,タイトル画面,Title theme,,https://youtu.be/Xg9DgX93SFo,,,
M020,kt020,決断の22時 ～Doloroso cicatrices,"22:00, The Decision - Doloroso cicatrices",P002,1面道中のテーマ,Stage 1 theme,,https://youtu.be/fzHh5tuh-bM,,,
M021,kt021,雲がくれにし夜半の月,Midnight Moon Veiled by Clouds,P002,1面ボス藤原香桃のテーマ,Komomo's theme,C011,https://youtu.be/rO8Yq5d-e-Y,,,
M022,kt022,フロンティアウィンド,Frontier Wind,P002,2面道中のテーマ,Stage 2 theme,,https://youtu.be/ogcjtDv9QtU,,,
M023,kt023,松樹千年翠 ～Messy Faith,Millenary Pine - Messy Faith,P002,2面ボス有手翠のテーマ,Midori's theme,C012,https://youtu.be/dsfqVA1y_dA,,,
M024,kt024,胎動する成層火山,Quickening of the Stratovolcano,P002,3面道中のテーマ,Stage 3 theme,,https://youtu.be/aQtdYEF_YXQ,,,
M025,kt025,ノアの高速方船,Noah's Hydro-Jet Ark,P002,3面ボスノア・アララトのテーマ,Noah's theme,C013,https://youtu.be/42xT7TFHxcI,,,
M026,kt026,深夜魔女狩録,Nocturnal Witch Hunt Chronicle,P002,4面道中のテーマ,Stage 4 theme,,https://youtu.be/vtIKydWXJXs,,,
M027,kt027,非伝承パルマケイア,Unorthodox Pharmakeia,P002,4面ボスメガイアマリア・イオニアのテーマ,Magiamalia's theme,C014,https://youtu.be/cZGojca4Xc8,,,
M028,kt028,八重垣の追憶,Yaegaki Recollection,P002,5面道中のテーマ,Stage 5 theme,,https://youtu.be/myxzvRPQ7zI,,,
M029,kt029,オールエイト ～奇し湯津爪の巫女,ALL EIGHT - The Curious Harvest Maiden,P002,5面ボス櫛稲宮やえのテーマ,Yae's theme,C015,https://youtu.be/oDyfOxjjmN0,,,
M030,kt030,空の轟音、地の慟哭,"Heaven's Roar, Earth's Lament",P002,6面道中のテーマ,Stage 6 theme,,https://youtu.be/-1dckV_T0d8,,,
M031,kt031,天羽々斬 ～Abandoned Sharpness,Ame-no-Habakiri - Abandoned Sharpness,P002,6面ボス深韴傷瑕のテーマ,Shōka's theme,C016,https://youtu.be/MeSnrs_8_ps,,,
M032,kt032,クラッキングワールド,Cracking World,P002,OVER面道中のテーマ,Stage "OVER" theme,,https://youtu.be/rtgxbo49K0U,,,
M033,kt033,シーズコールドプロドティス,She's Called Prodotis,P002,OVER面ボスエフティヒア・イオニアのテーマ,Eftychia's theme,C017,https://youtu.be/OYs4tP9PbcU,,,
M034,kt034,ウバリの翼 ～Meno Desire,Wings of Ubari - Meno Desire,P002,エンディングテーマ,Ending theme,,https://youtu.be/ALWgJYVz960,,,
M035,kt035,纏い傷,Flawbound,P002,,,https://youtu.be/hGHnN1D7zTY,,,
M036,kt036,,,,,,,,,,,
M037,kt037,記憶の旅人,Wanderer of Memories,P003,昨日と一昨日のテーマ,Theme of Yesterday and the Day Before Yesterday,C018,https://youtu.be/vdGJY3AVj-s,,,
M038,kt038,,,,,,,,,,,
M039,kt039,,,,,,,,,,,
M040,kt040,,,,,,,,,,,
M041,kt041,Normalis Vitae,Normalis Vitae,P004,タイトル画面,Title theme,,https://youtu.be/IukBr-aVc4E,,,
M042,kt042,末の露本の雫,"Dew's Fate, Drop's End",P004,1面道中のテーマ,Stage 1 theme,,https://youtu.be/bvnCygb6au8,,,
M043,kt043,天姿国色カサブランカ,Heavenly Casablanca - Pride of the Capital,P004,1面ボス石凝宮なみのテーマ,Nami's theme,C021,https://youtu.be/u5O2O_RPNg8,,,
M044,kt044,Debauched Asteroid,Debauched Asteroid,P004,2面道中のテーマ,Stage 2 theme,,https://youtu.be/7Irazc8-Gkw,,,
M045,kt045,転生体のシナプス,Reincarnation of Synapses,P004,2面ボスムニミ・ムネモシュネのテーマ,Mnimi's theme,C018,https://youtu.be/ycNsrRvcwP0,,,
M046,kt046,清新暗渠,Pristine Culvert,P004,3面道中のテーマ,Stage 3 theme,,https://youtu.be/Pj73RTLz3a8,,,
M047,kt047,カルヴァート・ダイバー,CULVERT DIVER,P004,3面ボス篁日菜里のテーマ,Hinari's theme,C022,https://youtu.be/15FEJCoV-CI,,,
M048,kt048,奫淪たる新世界,Submerged Abyssal Domain,P004,4面道中のテーマ,Stage 4 theme,,https://youtu.be/KfhN1D7zTY,,,,
